"","class","posterior.1","posterior.2","posterior.3","posterior.4","x.LD1","x.LD2","x.LD3","BHH","BFH","SHH","SHL","SFH","SFL"
"23621","4",3.4527470977581e-06,3.58485842515821e-09,0.0213664671850127,0.978630076483031,-3.15761905127837,0.0798678445502634,-0.0355336329511048,0,14.7168783648703,1.44337567297406,0,9.35121047879746,0
"23624","4",2.3821013944256e-05,9.18270797729989e-09,0.0786481753042044,0.921327994499143,-2.90925061256128,-0.26011844287989,-0.571446448931056,0.788110406239101,12.5741963124578,0,0,9.83978017586064,0
"23643","3",0.199776323127754,0.000152432358449913,0.698368253982101,0.101702990531695,-0.609937993417571,-0.480350624805734,-1.49749918090368,6.25543242171224,5.10753918455249,0,0,10.0679665273374,0
"23645","3",1.05979988423337e-05,4.64479229032356e-10,0.983269592880703,0.0167198086559749,-2.80393068546686,-2.26835095036569,-0.718691463486961,0,8.53553390593274,0,0,16.6257038496822,0
"23650A","4",3.71591095311411e-05,1.27528397286389e-08,0.242679643232889,0.75728318490474,-2.85195659439684,-0.634777285046607,-0.453172894049913,0,11.4060975318879,0,0,10.3026108284746,0
"23650B","4",2.51616769542206e-05,1.55744530194391e-08,0.0752150741293415,0.924759748619251,-2.84082260704924,-0.191802725610739,-0.377912970153084,0,12.0863956710616,0,0,8.51891162354429,0
"23660","4",8.53191017464109e-06,2.19195833927731e-08,0.00371990712257052,0.996271539047671,-2.76762564586725,0.830410659477875,-0.197832561823309,0,13.4633307786483,0,0,4.26699805010711,0
"23662","4",8.30543512682782e-06,4.54464109732336e-08,0.000380612690733104,0.999611036427729,-2.56788093049149,1.64082200181348,-0.36303223598156,1.49071198499986,14.5880711909626,0,0,2.10818510677892,0
"23709","4",5.85200198308487e-06,9.19525444688952e-09,0.00461538617592161,0.995378752626841,-2.9177451161192,0.673281891234473,-0.297424464099199,0,14.9549201823404,0,1.82574185835055,6.98971965329378,0
"23710","3",6.02325799222878e-05,5.80347610181852e-09,0.780940999676314,0.218998761940287,-2.74879017116081,-1.36763310077826,-0.827360414430559,1.21267812518166,10.2819445273718,0,0,14.2215694614369,0
"23712","3",2.00842263747233e-05,7.3279288007163e-10,0.9020830920022,0.0978968230386325,-2.97444002603859,-1.80129617591338,-0.995659915470915,1.51185789203691,10.6102680247898,0,0,16.9063948591544,0
"23714","3",8.11916297627469e-05,2.26615358542614e-08,0.586477921930408,0.413440863778294,-2.65113645760496,-0.996832666220594,-0.486360424332133,0,9.99751812570281,0,0,11.1602540378444,0
"23719","4",2.08793771241107e-05,1.75100306264284e-09,0.289591198052746,0.710387920819127,-3.13919617327332,-0.905538626996991,-0.93595500271899,1.81818181818182,12.8715640638354,0,0,14.1673012381938,0
"23722","3",0.000332043448295422,4.21001779573795e-08,0.932290645699106,0.0673772687524211,-2.15881217075964,-1.48827326718322,-0.968640180096583,3.19770398022843,10.9766604547843,1.32453235706504,2.64906471413009,18.5099310647161,0
"23723","3",9.71002822295682e-05,1.57867208339647e-08,0.978740152653867,0.021162731277183,-2.20843831653147,-1.86027540117453,-0.570395070095741,0,6.78540824484024,0,0,13.3091703078399,0
"23727","4",1.05983859319643e-05,1.31294342088986e-08,0.00344141523552596,0.996547973249108,-2.80075392121739,0.804115017580981,-0.588638550132867,1.74077655955698,14.2655594030382,0,0,6.35432454039427,0
"23754","4",4.73561433299304e-06,4.19826128929027e-09,0.010764642051649,0.989230618135757,-3.07315074877394,0.319580835622619,-0.324112872295792,0,13.8675132011879,0,0,7.16079997262849,0
"23646 G/H7","4",3.27481035210152e-05,4.62878553436966e-08,0.207618122433936,0.792349083174688,-2.71510167518375,-0.444787323630829,0.176645602404507,0,12.6946630902856,2.46182981958665,0,10.8670425778739,0
"23337 I6","4",1.92330397054008e-05,3.28327600467255e-09,0.375844078365588,0.62413668531143,-3.06696225974389,-0.955416267545607,-0.535571652396661,0,11.7541519105795,0,0,12.185429507551,0
"23005 I8","3",2.17657405268966e-05,1.53592240304306e-09,0.972025469248353,0.0279527634751976,-2.67663615164531,-2.03011193025104,-0.661847579167672,0,8.40874522895503,0,0,15.3195501753597,0
"23701 J5","4",0.000111647442346648,1.27965232390638e-08,0.0757383727519822,0.924149967009148,-2.7115295397495,-0.213982625013722,-1.43492185610276,0,12.0964947336584,0,0,8.84172053576912,1.28300059819917
"23701 J7","3",4.89226127680918e-05,4.79883404877605e-09,0.992085367394749,0.00786570519364861,-2.25284429173036,-2.20457926862795,-0.633715181119104,0,6.4018439966448,0,0,14.7977836866788,0
"23701 K6","3",0.000622928130826149,5.88286769470544e-07,0.888033757162637,0.111342726419767,-1.87016204622381,-1.09584407530519,-0.208128178341493,1.66666666666667,8.81199484763419,2.35702260395516,0,12.761423749154,0
"23701 K8","3",2.45421684673959e-05,1.93471656817304e-09,0.960911895109394,0.0390635607874224,-2.6925612830897,-1.92870883284398,-0.647112198985885,0,8.63950323522004,0,0,14.9640585555568,0
"23701 L5","4",5.38206242527614e-06,6.0893469804939e-09,0.00838826368277584,0.991606348165452,-3.00446003506248,0.438042738448464,-0.295119914133616,0,13.7825587732629,0,0,6.4959031292212,0
"23701 L7","4",9.4618334756806e-05,1.97067524202925e-08,0.318443790935731,0.68146157102276,-2.70273716757426,-0.702350066464291,-0.800232904411879,1.62221421130763,11.3517407259422,0,0,11.9031623760164,0
"23701 M6","4",1.16832642359538e-05,3.97861138425213e-08,0.0032132397997026,0.996775037149948,-2.65898883115784,0.937695512046224,-0.1653107238212,0,13.1978364319269,0,0,3.53208628550678,0
"23701 M8","4",9.0885299180483e-06,1.06049246347823e-07,0.000423527862764868,0.999567277558071,-2.46618745393454,1.69142032207151,-0.0137968937097957,0,13.6492814714335,0,0,0,0
"23701 N5","4",5.70525234917757e-06,6.44455699248793e-08,0.000298590768244481,0.999695639533836,-2.55322352285498,1.75434723152789,-0.0150629854433448,0,14.1058261672643,0,0,0,0
"23701 N7","4",3.49919928792706e-05,2.0431403278993e-06,0.000828249921338769,0.999134714945454,-2.02098421994928,1.77179699298389,0.59989180360289,0,13.4015936791109,2.29415733870562,0,0,0
"23701 O6","4",0.470029486731554,2.01518207602073e-06,0.0016184575228358,0.528350040563534,-0.980379876332721,1.41180010376895,-5.42371438993382,0,10.1267115682659,0,0,0,6.66666666666667
"23713 O8","4",0.00309731092211423,2.24455414024083e-08,0.00070230872129865,0.996200357911046,-2.07568418898773,1.37107591706583,-4.39785246956694,0,13.8783277058509,0,0,2.62612865719445,5.2522573143889
