"","PROC","lda.LD1","lda.LD2","lda.LD3","Predicted_group","correct"
"72","2",3.67445139540359,-0.245325446877975,-2.92762705355557,"2","Equal"
"73","2",3.24301830557917,-0.372618836131689,-2.78738074413351,"2","Equal"
"74","2",1.9569282517933,0.203622523223932,-0.555175731259291,"1","Not Equal"
"75","2",2.67909721312094,-0.656400323139198,-0.528191161486365,"2","Equal"
"76","2",2.87285300985155,-0.92527508908326,-1.19305144854215,"2","Equal"
"77","2",3.62912814709081,-1.2885780072644,-1.61992857438107,"2","Equal"
"78","2",4.14979557248036,-1.55361531570871,-2.96299474495169,"2","Equal"
"79","2",3.57380871175243,-2.11272949675784,0.563854583606754,"2","Equal"
"80","2",3.05569770222768,-1.54670907077107,0.337169779718524,"2","Equal"
"81","2",3.19185576033081,-1.12289264003939,-1.05207388315023,"2","Equal"
